id	icecream_van_id	latitude	longitude	velocity	created_at
441684319	14	51.1727052	4.1325883	0	2026-05-02 10:14:04
441685513	14	51.1724575	4.1328427	0.08330004662275314	2026-05-02 10:19:05
441686720	14	51.1724802	4.1328753	0.08990225940942764	2026-05-02 10:24:05
441690964	14	51.1724961	4.1328921	0.08973543345928192	2026-05-02 10:29:05
441692155	14	51.1725749	4.1330814	0	2026-05-02 10:30:07
441695177	14	51.1725556	4.1326942	1.46282160282135	2026-05-02 10:32:31
441695212	14	51.1725708	4.1326671	1.6365089416503906	2026-05-02 10:32:32
441695224	14	51.1725782	4.1326562	1.7207212448120117	2026-05-02 10:32:32
441695245	14	51.1725868	4.1326445	2.0237200260162354	2026-05-02 10:32:33
441695255	14	51.1725931	4.132632	2.148890733718872	2026-05-02 10:32:33
441695432	14	51.1727644	4.1325933	2.032689094543457	2026-05-02 10:32:40
441695558	14	51.1726945	4.1325655	1.013899326324463	2026-05-02 10:32:45
441695578	14	51.1726992	4.1325623	1.0579475164413452	2026-05-02 10:32:45
441695604	14	51.1727139	4.1325559	1.0107457637786865	2026-05-02 10:32:46
441695616	14	51.1727142	4.1325575	1.0153253078460693	2026-05-02 10:32:46
441695639	14	51.1727306	4.1325772	1.247236967086792	2026-05-02 10:32:47
441695663	14	51.1728356	4.1327511	3.2270424365997314	2026-05-02 10:32:48
441695675	14	51.1728394	4.1327682	3.1988303661346436	2026-05-02 10:32:48
441695721	14	51.1728541	4.1328832	3.9910166263580322	2026-05-02 10:32:50
441695778	14	51.1728828	4.1330425	4.676413059234619	2026-05-02 10:32:52
441695833	14	51.1729069	4.1331919	4.606835842132568	2026-05-02 10:32:54
441695890	14	51.1728943	4.1332951	3.795700788497925	2026-05-02 10:32:56
441695946	14	51.1728506	4.1333577	3.2443947792053223	2026-05-02 10:32:58
441696002	14	51.1727939	4.1333894	2.6674017906188965	2026-05-02 10:33:00
441696056	14	51.1727476	4.1334016	2.549484968185425	2026-05-02 10:33:02
441696110	14	51.1726767	4.1334337	3.4665184020996094	2026-05-02 10:33:04
441696165	14	51.1725778	4.1334714	4.450058460235596	2026-05-02 10:33:06
441696216	14	51.1724696	4.133529	5.259744167327881	2026-05-02 10:33:08
441696280	14	51.1723443	4.1336077	6.125534534454346	2026-05-02 10:33:10
441696335	14	51.1722005	4.1336844	6.872194766998291	2026-05-02 10:33:12
441696390	14	51.1720572	4.133767	7.469611167907715	2026-05-02 10:33:14
441696446	14	51.1719226	4.1338372	7.448507308959961	2026-05-02 10:33:16
441696502	14	51.1718011	4.1338761	6.873027324676514	2026-05-02 10:33:18
441696558	14	51.1716954	4.1338483	6.231076717376709	2026-05-02 10:33:20
441696615	14	51.1715894	4.1337806	5.971753120422363	2026-05-02 10:33:22
441696673	14	51.1714956	4.1337125	5.754443168640137	2026-05-02 10:33:24
441696731	14	51.1714081	4.1336541	5.272828102111816	2026-05-02 10:33:26
441696787	14	51.1713411	4.1336161	3.7841663360595703	2026-05-02 10:33:28
441696846	14	51.1713093	4.1336026	1.9774152040481567	2026-05-02 10:33:30
441696903	14	51.1712755	4.1335844	2.641303539276123	2026-05-02 10:33:32
441696963	14	51.1712138	4.1335418	3.5329647064208984	2026-05-02 10:33:34
441697026	14	51.1711242	4.1334906	4.412262916564941	2026-05-02 10:33:36
441697082	14	51.1710236	4.1334134	5.131770610809326	2026-05-02 10:33:38
441697141	14	51.170907	4.1333088	5.937665939331055	2026-05-02 10:33:40
441697198	14	51.1707779	4.1332101	6.669214725494385	2026-05-02 10:33:42
441697255	14	51.1706352	4.1331025	7.237877368927002	2026-05-02 10:33:44
441697307	14	51.1705012	4.1329913	7.424466133117676	2026-05-02 10:33:46
441697377	14	51.1703772	4.1328899	7.356746196746826	2026-05-02 10:33:48
441697436	14	51.1702616	4.1327914	7.37457799911499	2026-05-02 10:33:50
441697495	14	51.1701466	4.1326909	7.283449172973633	2026-05-02 10:33:52
441697559	14	51.1700243	4.1326036	7.17633581161499	2026-05-02 10:33:54
441697616	14	51.1698891	4.1325224	7.393836498260498	2026-05-02 10:33:56
441697680	14	51.1697436	4.132443	7.584444522857666	2026-05-02 10:33:58
441697735	14	51.1696026	4.1323669	7.77532434463501	2026-05-02 10:34:00
441697789	14	51.1694559	4.132284	8.147012710571289	2026-05-02 10:34:02
441697843	14	51.1693067	4.1321896	8.384671211242676	2026-05-02 10:34:04
441697903	14	51.169155	4.1320929	8.489602088928223	2026-05-02 10:34:06
441697962	14	51.1690226	4.1319761	8.196930885314941	2026-05-02 10:34:08
441698023	14	51.1689066	4.1318587	7.88979434967041	2026-05-02 10:34:10
441698082	14	51.1687995	4.1317448	7.540185928344727	2026-05-02 10:34:12
441698140	14	51.1687081	4.1316237	6.678225040435791	2026-05-02 10:34:14
441698198	14	51.1686405	4.1315517	4.522589206695557	2026-05-02 10:34:16
441698254	14	51.1686029	4.1315303	1.9749184846878052	2026-05-02 10:34:18
441698461	14	51.1685362	4.131525	1.5972203016281128	2026-05-02 10:34:24
441698523	14	51.168471	4.1315243	3.085120439529419	2026-05-02 10:34:26
441698584	14	51.1683875	4.1315979	3.509209156036377	2026-05-02 10:34:28
441698645	14	51.1683033	4.1317081	4.183000564575195	2026-05-02 10:34:30
441698707	14	51.1682008	4.1318339	5.051365375518799	2026-05-02 10:34:32
441698769	14	51.1680839	4.1319807	5.81227445602417	2026-05-02 10:34:34
441698826	14	51.1679852	4.1321032	5.7823991775512695	2026-05-02 10:34:36
441698884	14	51.1679121	4.1321861	4.615148067474365	2026-05-02 10:34:38
441698949	14	51.1678833	4.1322295	2.0928192138671875	2026-05-02 10:34:40
441699010	14	51.1678684	4.1322485	1.2967253923416138	2026-05-02 10:34:42
441700425	14	51.1678428	4.1322628	1.0220919847488403	2026-05-02 10:35:32
441700493	14	51.1677975	4.1323267	1.982759714126587	2026-05-02 10:35:34
441700559	14	51.1677453	4.1324292	2.9152698516845703	2026-05-02 10:35:36
441700628	14	51.1676857	4.1325351	3.537631034851074	2026-05-02 10:35:38
441700698	14	51.1676269	4.1326023	3.309506893157959	2026-05-02 10:35:40
441700769	14	51.1675731	4.1325984	3.0608081817626953	2026-05-02 10:35:42
441700834	14	51.167523	4.132523	3.1648077964782715	2026-05-02 10:35:44
441700908	14	51.1674643	4.1323786	4.218114852905273	2026-05-02 10:35:46
441700980	14	51.1673811	4.1321719	5.503060817718506	2026-05-02 10:35:48
441701053	14	51.167297	4.1319127	6.9210052490234375	2026-05-02 10:35:50
441701123	14	51.1672059	4.1316222	8.210077285766602	2026-05-02 10:35:52
441701195	14	51.1670993	4.1312868	9.567615509033203	2026-05-02 10:35:54
441701268	14	51.1669819	4.1309438	10.672825813293457	2026-05-02 10:35:56
441701340	14	51.1668608	4.1305958	11.58100414276123	2026-05-02 10:35:58
441701414	14	51.1667379	4.1302381	12.323968887329102	2026-05-02 10:36:00
441701475	14	51.1666071	4.1298811	12.885415077209473	2026-05-02 10:36:02
441701562	14	51.1664747	4.1295346	13.203071594238281	2026-05-02 10:36:04
441701639	14	51.1663524	4.1291936	13.325743675231934	2026-05-02 10:36:06
441701716	14	51.1662278	4.1288459	13.476601600646973	2026-05-02 10:36:08
441701793	14	51.1661029	4.1285051	13.547529220581055	2026-05-02 10:36:10
441701867	14	51.1659742	4.1281586	13.549042701721191	2026-05-02 10:36:12
441701939	14	51.1658495	4.1278154	13.655176162719727	2026-05-02 10:36:14
441702010	14	51.165719	4.1274706	13.743221282958984	2026-05-02 10:36:16
441702079	14	51.1655861	4.127138	13.769963264465332	2026-05-02 10:36:18
