reservation_id	icecream_van_id	icecream_van_schedule_id	menu_id	status	datetime_start	datetime_stop	address_zipcode	address_city	address_country	latitude	longitude	travel_expense	minimum_consumption	callout_charge	allow_non_payment	payment_per_person	nr_of_people	reservation_type
32374	91	77859	56	EXECUTED	2026-04-30 14:15:00	2026-04-30 15:00:00	9250	Waasmunster	België	51.126	4.083	15.820000000000000	90.000000000000000	0.000000000000000	0	0	30	EVENT_PAID_BY_HOST
32691	103	77858	56	EXECUTED	2026-04-30 19:00:00	2026-04-30 20:00:00	9160	Lokeren	België	51.122	3.926	42.880000000000000	120.000000000000000	0.000000000000000	0	0	85	EVENT_PAID_BY_HOST
33474	103	77858	59	EXECUTED	2026-04-30 12:00:00	2026-04-30 13:30:00	2050	Antwerpen	België	51.231	4.39	63.180000000000000	180.000000000000000	0.000000000000000	0	0	100	EVENT_PAID_BY_HOST
33956	35	77869	1	EXECUTED	2026-04-30 11:30:00	2026-04-30 13:00:00	9120	Kallo	België	51.259	4.272	48.040000000000000	180.000000000000000	0.000000000000000	1	0	100	EVENT_PAID_BY_HOST
33960	34	77862	57	EXECUTED	2026-04-30 13:00:00	2026-04-30 13:30:00	9220	Hamme	België	51.072	4.131	25.280000000000000	60.000000000000000	0.000000000000000	1	0	30	EVENT_PAID_BY_HOST
