call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
653144	167902	8	51.136	4.188	51.136	4.188	10+	9140	Temse	België	2026-04-30 14:00:00	0	2026-04-30 10:44:02	2026-04-30 13:16:47
653147	167902	8	51.139	4.185	51.139	4.185	9-10	9140	Temse	België	2026-04-30 14:30:00	0	2026-04-30 10:58:59	2026-04-30 13:17:24
653148	167893	9	51.032	4.12	51.032	4.121	10+	9200	Dendermonde	België	2026-04-30 13:00:00	0	2026-04-30 10:59:15	2026-04-30 13:02:43
653150	NULL	NULL	51.078	3.996	51.078	3.996	5-6	9160	Lokeren	België	2026-04-30 12:30:00	0	2026-04-30 11:05:09	2026-04-30 11:05:09
653151	NULL	NULL	50.993	4.161	50.993	4.161	3-4	9280	Lebbeke	België	2026-04-30 14:45:00	0	2026-04-30 11:12:49	2026-04-30 11:12:49
653152	167871	103	51.076	3.985	51.076	3.985	10+	9160	Lokeren	België	2026-04-30 14:00:00	0	2026-04-30 11:13:13	2026-04-30 13:09:03
653157	167906	7	51.069	4.05	51.069	4.051	10+	9240	Zele	België	2026-04-30 14:00:00	0	2026-04-30 11:21:17	2026-04-30 13:53:41
653158	167896	13	51.17	4.147	51.17	4.146	9-10	9100	Sint-Niklaas	België	2026-04-30 15:00:00	0	2026-04-30 11:23:33	2026-04-30 13:09:36
653160	167896	13	51.17	4.147	51.17	4.146	9-10	9100	Sint-Niklaas	België	2026-04-30 14:30:00	0	2026-04-30 11:25:34	2026-04-30 13:12:08
653164	167871	103	51.076	3.985	51.076	3.985	10+	9160	Lokeren	België	2026-04-30 14:00:00	0	2026-04-30 11:32:52	2026-04-30 13:09:06
653166	NULL	NULL	51.076	3.985	NULL	NULL	10+	9160	Lokeren	Belgium	2026-04-30 14:00:00	0	2026-04-30 11:34:12	2026-04-30 11:34:12
653167	NULL	NULL	51.082	4.051	50.938	4.042	7-8	9240	Zele	België	2026-04-30 12:00:00	0	2026-04-30 11:34:33	2026-04-30 11:34:33
653170	NULL	NULL	51.136	4.194	51.136	4.194	5-6	9140	Temse	België	2026-04-30 12:00:00	0	2026-04-30 11:36:16	2026-04-30 11:36:16
653179	167902	8	51.136	4.188	51.136	4.188	1-2	9140	Temse	België	2026-04-30 13:45:00	0	2026-04-30 11:52:16	2026-04-30 13:17:12
653180	NULL	NULL	51.085	4.218	51.085	4.218	3-4	2880	Bornem	België	2026-04-30 12:00:00	0	2026-04-30 11:55:33	2026-04-30 11:55:33
653182	NULL	NULL	51.105	4.002	51.105	4.003	10+	9160	Lokeren	België	2026-04-30 14:00:00	0	2026-04-30 11:56:46	2026-04-30 11:56:46
653183	NULL	NULL	51.105	4.003	51.105	4.003	7-8	9160	Lokeren	België	2026-04-30 13:30:00	0	2026-04-30 11:56:50	2026-04-30 11:56:50
653185	NULL	NULL	50.945	4.246	50.945	4.246	10+	1785	Merchtem	België	2026-04-30 12:00:00	0	2026-04-30 11:58:23	2026-04-30 11:58:23
653186	167893	9	51.032	4.12	51.032	4.121	10+	9200	Dendermonde	België	2026-04-30 13:00:00	0	2026-04-30 12:01:24	2026-04-30 13:02:43
