sale_order_id	sale_id	icecream_van_id	menu_item_id	datetime	name	price_vati	vat_rate
7120594	2096588	103	2	2026-04-30 11:15:11	2 bol	5.800000000000000	6.000
7120595	2096588	103	1	2026-04-30 11:15:11	1 bol	3.300000000000000	6.000
7120596	2096588	103	2	2026-04-30 11:15:11	2 bol	5.800000000000000	6.000
7120668	2096612	35	1	2026-04-30 11:41:59	1 bol	3.300000000000000	6.000
7120674	2096612	35	2	2026-04-30 11:42:59	2 bol	5.800000000000000	6.000
7120682	2096612	35	1	2026-04-30 11:45:08	1 bol	3.300000000000000	6.000
7120716	2096612	35	2	2026-04-30 11:50:55	2 bol	5.800000000000000	6.000
7120720	2096612	35	2	2026-04-30 11:51:37	2 bol	5.800000000000000	6.000
7120729	2096612	35	2	2026-04-30 11:52:34	2 bol	5.800000000000000	6.000
7120732	2096612	35	2	2026-04-30 11:53:11	2 bol	5.800000000000000	6.000
7120739	2096612	35	2	2026-04-30 11:54:02	2 bol	5.800000000000000	6.000
7120744	2096612	35	2	2026-04-30 11:54:48	2 bol	5.800000000000000	6.000
7120747	2096612	35	2	2026-04-30 11:55:19	2 bol	5.800000000000000	6.000
7120756	2096612	35	2	2026-04-30 11:56:01	2 bol	5.800000000000000	6.000
7120759	2096612	35	2	2026-04-30 11:56:40	2 bol	5.800000000000000	6.000
7120762	2096612	35	2	2026-04-30 11:57:21	2 bol	5.800000000000000	6.000
7120765	2096612	35	2	2026-04-30 11:57:54	2 bol	5.800000000000000	6.000
7120770	2096612	35	2	2026-04-30 11:58:38	2 bol	5.800000000000000	6.000
7120774	2096612	35	2	2026-04-30 11:59:20	2 bol	5.800000000000000	6.000
7120775	2096612	35	2	2026-04-30 11:59:22	2 bol	5.800000000000000	6.000
7120781	2096612	35	2	2026-04-30 12:00:09	2 bol	5.800000000000000	6.000
7120795	2096612	35	1	2026-04-30 12:01:23	1 bol	3.300000000000000	6.000
7120799	2096612	35	6	2026-04-30 12:01:24	slagroom	1.200000000000000	6.000
7120806	2096612	35	2	2026-04-30 12:02:06	2 bol	5.800000000000000	6.000
7120813	2096612	35	2	2026-04-30 12:02:50	2 bol	5.800000000000000	6.000
7120840	2096612	35	2	2026-04-30 12:04:57	2 bol	5.800000000000000	6.000
7120841	2096612	35	2	2026-04-30 12:04:56	2 bol	5.800000000000000	6.000
7120852	2096612	35	2	2026-04-30 12:05:42	2 bol	5.800000000000000	6.000
7120863	2096612	35	2	2026-04-30 12:06:32	2 bol	5.800000000000000	6.000
7120872	2096612	35	2	2026-04-30 12:07:16	2 bol	5.800000000000000	6.000
7120882	2096612	35	1	2026-04-30 12:07:46	1 bol	3.300000000000000	6.000
7120885	2096612	35	1	2026-04-30 12:08:13	1 bol	3.300000000000000	6.000
7120902	2096612	35	2	2026-04-30 12:08:51	2 bol	5.800000000000000	6.000
7120907	2096612	35	1	2026-04-30 12:09:20	1 bol	3.300000000000000	6.000
7120912	2096612	35	2	2026-04-30 12:09:57	2 bol	5.800000000000000	6.000
7120915	2096612	35	1	2026-04-30 12:10:21	1 bol	3.300000000000000	6.000
7120924	2096612	35	1	2026-04-30 12:10:59	1 bol	3.300000000000000	6.000
7120931	2096612	35	2	2026-04-30 12:11:30	2 bol	5.800000000000000	6.000
7120950	2096612	35	1	2026-04-30 12:13:51	1 bol	3.300000000000000	6.000
7120954	2096612	35	1	2026-04-30 12:14:37	1 bol	3.300000000000000	6.000
7120957	2096612	35	1	2026-04-30 12:14:57	1 bol	3.300000000000000	6.000
7120958	2096612	35	1	2026-04-30 12:15:23	1 bol	3.300000000000000	6.000
7120962	2096612	35	1	2026-04-30 12:15:50	1 bol	3.300000000000000	6.000
7120969	2096612	35	1	2026-04-30 12:16:16	1 bol	3.300000000000000	6.000
7120971	2096612	35	1	2026-04-30 12:16:48	1 bol	3.300000000000000	6.000
7120972	2096612	35	1	2026-04-30 12:16:49	1 bol	3.300000000000000	6.000
7120979	2096612	35	2	2026-04-30 12:17:47	2 bol	5.800000000000000	6.000
7120982	2096612	35	2	2026-04-30 12:18:25	2 bol	5.800000000000000	6.000
7120991	2096612	35	2	2026-04-30 12:18:59	2 bol	5.800000000000000	6.000
7120993	2096612	35	2	2026-04-30 12:19:30	2 bol	5.800000000000000	6.000
7120997	2096612	35	2	2026-04-30 12:20:13	2 bol	5.800000000000000	6.000
7121006	2096612	35	2	2026-04-30 12:21:56	2 bol	5.800000000000000	6.000
7121008	2096612	35	2	2026-04-30 12:22:47	2 bol	5.800000000000000	6.000
7121011	2096612	35	2	2026-04-30 12:23:25	2 bol	5.800000000000000	6.000
7121012	2096612	35	2	2026-04-30 12:24:01	2 bol	5.800000000000000	6.000
7121029	2096612	35	2	2026-04-30 12:25:23	2 bol	5.800000000000000	6.000
7121040	2096612	35	2	2026-04-30 12:26:15	2 bol	5.800000000000000	6.000
7121044	2096612	35	1	2026-04-30 12:26:40	1 bol	3.300000000000000	6.000
7121065	2096612	35	1	2026-04-30 12:29:26	1 bol	3.300000000000000	6.000
7121111	2096612	35	2	2026-04-30 12:33:31	2 bol	5.800000000000000	6.000
7121125	2096612	35	2	2026-04-30 12:35:04	2 bol	5.800000000000000	6.000
7121126	2096612	35	1	2026-04-30 12:35:05	1 bol	3.300000000000000	6.000
7121133	2096612	35	1	2026-04-30 12:35:33	1 bol	3.300000000000000	6.000
7121139	2096612	35	1	2026-04-30 12:36:09	1 bol	3.300000000000000	6.000
7121140	2096612	35	8	2026-04-30 12:36:10	bresilienne	1.200000000000000	6.000
7121227	2096612	35	1	2026-04-30 12:42:05	1 bol	3.300000000000000	6.000
7121236	2096612	35	2	2026-04-30 12:42:41	2 bol	5.800000000000000	6.000
7121254	2096612	35	2	2026-04-30 12:43:20	2 bol	5.800000000000000	6.000
7121269	2096612	35	3	2026-04-30 12:44:33	3 bol	8.900000000000000	6.000
7121301	2096612	35	18	2026-04-30 12:46:24	brownie medium	8.200000000000000	6.000
7121333	2096612	35	2	2026-04-30 12:47:57	2 bol	5.800000000000000	6.000
7121377	2096612	35	2648	2026-04-30 12:50:15	brownie small	6.200000000000000	6.000
7121380	2096612	35	1	2026-04-30 12:50:41	1 bol	3.300000000000000	6.000
7121388	2096612	35	1	2026-04-30 12:51:07	1 bol	3.300000000000000	6.000
7121389	2096612	35	1	2026-04-30 12:51:09	1 bol	3.300000000000000	6.000
7121404	2096612	35	1	2026-04-30 12:52:00	1 bol	3.300000000000000	6.000
7121466	2096612	35	6	2026-04-30 12:56:29	slagroom	1.200000000000000	6.000
7121467	2096612	35	8	2026-04-30 12:56:32	bresilienne	1.200000000000000	6.000
7121468	2096612	35	2652	2026-04-30 12:56:27	dame bueno small	4.400000000000000	6.000
7121509	2096612	35	1	2026-04-30 12:59:08	1 bol	3.300000000000000	6.000
7121510	2096612	35	1	2026-04-30 12:59:09	1 bol	3.300000000000000	6.000
7121541	2096612	35	0	2026-04-30 13:00:54	Kilometervergoeding	48.040000000000000	6.000
7120683	2096620	34	2	2026-04-30 11:45:04	2 bol	5.800000000000000	6.000
7120686	2096621	34	1	2026-04-30 11:46:01	1 bol	3.300000000000000	6.000
7120724	2096631	34	1	2026-04-30 11:51:52	1 bol	3.300000000000000	6.000
7120725	2096631	34	1	2026-04-30 11:51:54	1 bol	3.300000000000000	6.000
7120798	2096640	34	1	2026-04-30 12:01:11	1 bol	3.300000000000000	6.000
7120802	2096640	34	1	2026-04-30 12:01:45	1 bol	3.300000000000000	6.000
7120803	2096640	34	7	2026-04-30 12:01:45	sauzen	1.200000000000000	6.000
7120847	2096652	34	1	2026-04-30 12:05:16	1 bol	3.300000000000000	6.000
7121142	2096723	103	1	2026-04-30 12:36:21	1 bol	3.300000000000000	6.000
